time,Ri_Fx_Mi,Ri_Fy_Mi,Ri_Fz_Mi,Ri_rx_MiMj,Ri_ry_MiMj,Ri_rz_MiMj,Ri_vx_MiMj,Ri_vy_MiMj,Ri_vz_MiMj,k,c,sigma0,sigma1,sigma2,alpha,mu_s,mu_c,v_s,z,der(z)
0,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,0,-nan
0.01,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.02,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.03,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.04,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.05,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.06,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.07000000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.08,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.09,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.09999999999999999,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.11,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.12,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.13,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.14,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.15,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
